int_lives,生命数,Lives,生命,Anzahl der Leben,Nombre de vies,vidas,жизни,ชีวิต,생명,عدد الأرواح,Numero di vite,Número de vidas
int_map_alpha,透明度,Alpha,アルファ,Alpha,Alpha,transparencia,альфа,อัลฟ่า,알파,ألفا,trasparenza,transparência
int_map_height,地图高度,Map Height,マップの高さ,Kartenhöhe,Hauteur de la carte,Altura del mapa,Высота карты,ความสูงของแผนที่,지도 높이,ارتفاع الخريطة,Altezza mappa,Altura do mapa
int_map_hspeed,水平速度,Horizontal Speed,水平速度,Horizontale Geschwindigkeit,Vitesse horizontale,velocidad horizontal,Горизонтальная скорость,ความเร็วแนวนอน,수평 속도,السرعة الأفقية,Velocità orizzontale,Velocidade horizontal
int_map_music_volume,音量,Volume,音量,Lautstärke,Volume,Volumen,Громкость,ระดับเสียง,음량,مستوى الصوت,Volume,Volume
int_map_passerby_max,最大数量,Maximum Quantity,最大数量,Maximaler Bestand,Quantité maximale,Cantidad máxima,Максимальное количество,จำนวนสูงสุด,최대 수량,الحد الأقصى للكمية,Quantidade máxima,Quantità massima
int_map_speed,动画速度(帧/秒),Animation Speed(Frames/Sec),アニメーション速度(フレーム/秒),Animationsgeschwindigkeit(Bilder/Sekunde),Vitesse d'animation(Images/sec),Velocidad de animación(Cuadros/segundo),Скорость анимации(кадры/секунда),ความเร็วการแอนิเมชัน(เฟรม/วินาที),애니메이션 속도(프레임/초),سرعة الرسوم المتحركة(صورة/ثانية),Velocidade de Animação(Quadros/segundo),Velocità dell'animazione(Frame al secondo)
int_map_width,地图宽度,Map Width,マップ幅,Map Breite,La largeur de la carte,Ancho del mapa,Ширина карты,ความกว้างของแผนที่,지도 너비,عرض الخريطة,Larghezza mappa,Largura do mapa
int_mapline,列,Lines,列,Reihen,Lignes,Líneas,Линии,บรรทัด,행,خطوط,Linee,coluna
int_maprow,行,Rows,行,Reihen,Lignes,Líneas,Линии,บรรทัด,행,خطوط,Righe,Sim
int_maptransparency,地图透明度,Map Transparency,地図の透明度,Kartentransparenz,Transparence de la carte,Transparencia del mapa,Прозрачность карты,ความโปร่งใสของแผนที่,지도 투명도,شفافية الخريطة,Trasparenza della mappa,Transparência do mapa
int_maxpoints,最大,Maximum,最大,Maximal,Maximum,Maximo,Максимальный,สูงสุด,최대,الحد الأقصى,Massimo,máximo
int_messagetransparency,信息窗口透明度,Message Window Transparency,情報ウィンドウの透明度,Transparenz des Nachrichtenfensters,Transparence de la fenêtre de message,Transparencia de la ventana de mensajes,Прозрачность окна сообщений,ความโปร่งใสของหน้าต่างข้อความ,메시지 창 투명도,شفافية نافذة الرسالة,Trasparenza della finestra dei messaggi,Transparência da janela de informação
int_minimaptransparency,小地图透明度,Minimap Transparency,ミニマップの透明度,Minikartentransparenz,Transparence de la mini-carte,Transparencia del minimapa,Прозрачность мини-карты,ความโปร่งใสของแผนที่เล็ก,미니맵 투명도,شفافية الخريطة الصغيرة,Trasparenza della minimappa,Transparência do minimapa
int_minpoints,最小,Minimum,最小,Minimum,Minimum,Minimo,Минимум,ต่ำสุด,최소,الحد الأدنى,Minimo,pelo menos
int_mplimit,MP值上限,Maximum MP,最大MP,Maximale MP,GMP maximale,MP Máximo,Максимальное MP,MP สูงสุด,최대 MP,الحد الأقصى لنقاط القوة,Massimo MP,MP Máximo
int_nopassword,无密码,No Password,パスワードなし,Kein Passwort,Pas de mot de passe,Sin contraseña,Без пароля,ไม่มีรหัสผ่าน,비밀번호 없음,بدون كلمة مرور,Nessuna Password,Não há senha
int_offground,Y坐标(离地),Y Position (Off Ground),Y座標(最低地上高),Y-Koordinate (Bodenfreiheit),Coordonnée Y (garde au sol),Coordenada Y (distancia al suelo),Y-позиция (над землей),ตำแหน่ง Y (นอกพื้น),Y 위치 (공중),الموقف Y (فوق الأرض),Posizione Y (sopra il terreno),Posição Y (Fora do Chão)
int_output_height,画布高度,Output Height,キャンバスの高さ,Ausgabehöhe,Hauteur de sortie,Altura de salida,Выходная высота,ความสูงของผลลัพธ์,출력 높이,الارتفاع الناتج,Altezza output,Altura de saída
int_output_size,导出体积,Output Size,輸出量,Ausgabegröße,Taille de sortie,Tamaño de salida,Выходной размер,ขนาดผลลัพธ์,출력 크기,حجم الإخراج,Dimensione di output,Tamanho de saída
int_output_width,画布宽度,Output Width,キャンバスの幅,Ausgabebreite,largeur de sortie,Ancho de salida,Ширина вывода,ความกว้างของผลลัพธ์,출력 너비,عرض الإخراج,Larghezza di output,Largura de saída
int_passive_max,最大被动技能数量,Maximum Passives,パッシブスキルの最大数,Maximale Passive,Passifs maximums,Máximo de pasivas,Максимальные пассивы,จำนวนสูงสุดของสกิลแบบจำกัด,최대 패시브,الحد الأقصى للمميزات,Massimo passivo,Máximo de passivas
int_platform_loop,往返,Round Loop,ラウンドループ,Rundschleife,Boucle ronde,Bucle redondo,Круглый петле,วงจรรอบ,라운드 루프,دورة دائرية,Ciclo tondo,Laço redondo
int_platform_period,移动时间(秒),Movement Period(Sec),移動時間（秒）,Bewegungsperiode (Sek),Période de déplacement (s),Período de movimiento (seg),Период движения (сек),ระยะเวลาการเคลื่อนไหว (วิ),이동 주기 (초),فترة الحركة (ثانية),Periodo di movimento (sec),Período de movimento (seg)
int_platform_range,移动距离,Movement Distance,移動距離,Bewegungsentfernung,Distance de déplacement,Distancia de movimiento,Расстояние перемещения,ระยะทางการเคลื่อนที่,이동 거리,مسافة الحركة,Distanza di movimento,Distância de movimento
int_points,点数,Points,ポイント,Punkte,Points,Puntos,Очки,คะแนน,포인트,نقاط,Punti,Pontos
int_proplimit,属性上限,Maximum Attribute,最大属性,Maximale Eigenschaft,Attribut maximum,Atributo máximo,Максимальный атрибут,คุณสมบัติสูงสุด,최대 속성,السمة القصوى,Attributo massimo,Atributo máximo
int_quest_level,任务等级,Quest Level,クエストレベル,Questlevel,Niveau de quête,Nivel de misión,Уровень задания,ระดับเควส,퀘스트 레벨,مستوى المهمة,Livello missione,Nível de missão
int_quest_time_day,游戏内天数,In-Game Days,ゲーム内日数,Ingame-Tage,Jours en jeu,Días en el juego,Игровые дни,วันในเกม,게임 내 일수,أيام اللعبة,Giorni in gioco,Dias no jogo
int_quest_time_limit,游戏内小时数,In-Game Hours,ゲーム内時間（時間）,Ingame-Stunden,Heures de jeu,Horas en el juego,Игровые часы,ชั่วโมงในเกม,게임 내 시간,ساعات اللعبة,Ore di gioco,Horas no jogo
int_quest_time_time,时钟,Clock,時計,Uhr,Horloge,Reloj,Часы,นาฬิกา,시계,ساعة,Orologio,Relógio
int_resist_max,最大异常属性抵抗百分比,Maximum Percentage of Nerf Resistant,最大異常属性耐性百分比,Maximale Nerf-Resistenz in Prozent,Pourcentage maximal de résistance au nerf,Porcentaje máximo de resistencia a nerf,Максимальный процент сопротивления нерфу,ร้อยละของความต้านทาน Nerf สูงสุด,너프 저항의 최대 백분율,النسبة المئوية القصوى للمقاومة للتخفيف,Percentuale massima di resistenza al nerf,Porcentagem máxima de resistência a nerf
int_resource_canvas_height,画布高度,Canvas Height,キャンバスの高さ,Leinwandhöhe,Hauteur du canevas,Altura del lienzo,Высота холста,ความสูงของแคนวาส,캔버스 높이,ارتفاع القماش,Altezza del canvas,Altura do canvas
int_resource_canvas_width,画布宽度,Canvas Width,キャンバスの幅,Leinwandbreite,Largeur du canevas,Ancho del lienzo,Ширина холста,ความกว้างของแคนวาส,캔버스 너비,عرض القماش,Larghezza del canvas,Largura do canvas
int_resource_frame,帧数,Frames,フレーム,Frames,Images,Cuadros,Кадры,เฟรม,프레임,الإطارات,Fotogrammi,Quadros
int_resource_height,高度,Height,高さ,Höhe,Hauteur,Altura,Высота,ความสูง,높이,الارتفاع,Altezza,Altura 
int_resource_image_height,图像高度,Image Height,画像の高さ,Bildhöhe,Hauteur de l'image,Altura de la imagen,Высота изображения,ความสูงของรูปภาพ,이미지 높이,ارتفاع الصورة,Altezza dell'immagine,Altura da imagem
int_resource_image_width,图像宽度,Image Width,画像の幅,Bildbreite,Largeur de l'image,Ancho de la imagen,Ширина изображения,ความกว้างของรูปภาพ,이미지 너비,عرض الصورة,Larghezza dell'immagine,Largura da imagem
int_resource_width,宽度,Width,幅,Breite,Largeur,Ancho,Ширина,ความกว้าง,너비,العرض,Larghezza,Largura
int_seconds,秒,Seconds,秒,Sekunden,Secondes,Segundos,Секунды,วินาที,초,ثواني,Secondi,Segundos
int_shop_percentoff,给予折扣%,Percent off,パーセントオフ,Prozentrabatt,Pourcentage de réduction,Porcentaje de descuento,Процент скидки,เปอร์เซ็นต์ส่วนลด,할인율,نسبة الخصم,Percentuale di sconto,Percentagem de desconto
int_shop_spent,消费金额达到,Spent,支出額,Ausgaben,Dépenses,Gastado,Затраты,จ่าย,지출,المصاريف,Speso,Gasto
int_sideheight,边缘高度,Side Height,サイドの高さ,Seitenhöhe,Hauteur latérale,Altura lateral,Высота бока,ความสูงด้านข้าง,측면 높이,ارتفاع الجانب,Altezza laterale,Altura lateral
int_skill_apcost,消耗行动点,AP Cost,行動力コスト,AP-Kosten,Coût en PA,Coste de AP,Затраты AP,ค่า AP,AP 비용,تكلفة نقاط العمل,Costo AP,Custo de AP
int_skill_cdsec,冷却时间(秒),Cooldown(Sec),クールダウン（秒）,Abklingzeit (Sek),Temps de recharge (s),Tiempo de reutilización (seg),Время восстановления (сек),เวลาเย็นช้า (วิ),재사용 대기시간 (초),وقت التبريد (ثانية),Tempo di ricarica (sec),Tempo de recarga (seg)
int_skill_cdturn,冷却时间(回合),Cooldown(Turn),クールダウン（ターン）,Abklingzeit (Runde),Temps de recharge (tour),Tiempo de reutilización (turno),Время восстановления (ход),เวลาเย็นช้า (รอบ),재사용 대기시간 (턴),وقت التبريد (جولة),Tempo di ricarica (turno),Tempo de recarga (turno)
int_skill_comboavaliable,有效判断帧数,Combo avaliable frame,コンボ可能なフレーム,Kombinationsmöglichkeitsrahmen,Trame de combo possible,Cuadro de combo disponible,Кадр доступного комбо,เฟรมคอมโบที่สามารถใช้งานได้,콤보 사용 가능 프레임,الإطار المتاح للكومبو,Frame disponibile per combo,Quadro disponível para combo
int_skill_combostart,初始判断帧,Combo starting frame,コンボ開始フレーム,Kombinationsstartframe,Trame de début de combo,Cuadro de inicio de combo,Кадр начала комбо,เฟรมเริ่มต้นคอมโบ,콤보 시작 프레임,إطار بدء الكومبو,Frame di inizio combo,Quadro de início de combo  
int_skill_item,个数,Points,ポイント,Punkte,Points,Puntos,Очки,คะแนน,포인트,نقاط,Punti,Pontos
int_skilltree_max,技能树上限,Maximum Skill Trees,最大スキルツリー,Maximale Fertigkeitsbäume,Arbres de compétences maximum,Árboles de habilidades máximos,Максимальные деревья навыков,จำนวนต้นไม้ทักษะสูงสุด,최대 스킬 트리,الحد الأقصى لأشجار المهارات,Alberi delle abilità massimi,Máximo de árvores de habilidades
int_staminalimit,体力值上限,Maximum Stamina,最大スタミナ,Maximale Ausdauer,Stamina maximale,Máxima resistencia,Максимальная выносливость,สตามิน่าสูงสุด,최대 스태미너,الحد الأقصى للقدرة على التحمل,Massima resistenza,Máximo de stamina
int_start_fame,初始声望,Starting Fame,初期の名声,Anfangsruhm,Renommée de départ,Fama inicial,Начальная слава,ชื่อเสียงเริ่มต้น,초기 명성,الشهرة البدائية,Fama iniziale,Fama inicial                              
int_start_money,初始金钱,Starting Money,初期のお金,Startgeld,Argent de départ,Dinero inicial,Начальные деньги,จำนวนเงินเริ่มต้น,초기 자본금,الأموال الابتدائية,Denaro iniziale,Dinheiro inicial
int_start_moral,初始道德,Starting Moral,初期のモラル,Anfangsmoral,Moral de départ,Moral inicial,Начальная мораль,จริยธรรมเริ่มต้น,초기 도덕,الأخلاقية البدائية,Moralità iniziale,Moral inicial
int_startmapx,初始X坐标,X Position,初期X座標,X-Position,Position X,Posición X,Позиция X,ตำแหน่ง X,X 위치,موقع X,Posizione X,Posição X
int_startmapz,初始Z坐标,Z Position,初期Z座標,Z-Position,Position Z,Posición Z,Позиция Z,ตำแหน่ง Z,Z 위치,موقع Z,Posizione Z,Posição Z
int_team_max,队伍人数上限,Team Size,チームサイズ,Teamgröße,Taille de l'équipe,Tamaño del equipo,Максимальный размер команды,จำนวนสมาชิกทีมสูงสุด,팀 크기,الحجم الأقصى للفريق,Dimensione della squadra,Tamanho da equipe
int_time_period,每一小时时长(秒),Real Life Seconds for Each Hour,各時間ごとの実際の秒,Sekunden in der echten Welt für jede Stunde,Secondes de vie réelle pour chaque heure,Segundos de tiempo real para cada hora,Реальные секунды для каждого часа,วินาทีชีวิตจริงสำหรับทุกชั่วโมง,시간당 실제 세컨드,ثواني الواقع الحي لكل ساعة,Secondi di vita reale per ogni ora,Segundos da vida real para cada hora
int_times,次,Times,回数,Mal,Fois,Veces,Время,ครั้ง,번,مرات,Volte,Vezes
int_trap_cycle,周期(秒),Cycle(Seconds),サイクル（秒）,Zyklus (Sekunden),Cycle (secondes),Ciclo (segundos),Цикл (секунды),รอบ (วินาที),주기 (초),دورة (ثواني),Ciclo (secondi),Ciclo (segundos)
int_trap_damage,伤害,Damage,ダメージ,Schaden,Dommages,Daño,Урон,ความเสียหาย,피해,الضرر,Danno,Dano
int_trap_delay,延时(秒),Delay(Seconds),遅延（秒）,Verzögerung (Sekunden),Délai (secondes),Retraso (segundos),Задержка (секунды),การล่าช้า (วินาที),지연 (초),تأخير (ثواني),Ritardo (secondi),Atraso (segundos)
int_trap_force,威力,Force,力,Kraft,Force,Fuerza,Сила,กำลัง,힘,القوة,Forza,Força
int_trap_poison,毒,Poison,毒,Gift,Poison,Veneno,Яд,พิษ,독,سم,Veleno,Veneno
int_trap_range,攻击范围,Range,攻撃範囲,Reichweite,Portée,Alcance,Диапазон атаки,ระยะทางโจมตี,사거리,مدى الهجوم,Raggio d'azione,Alcance
int_uitransparency,底板透明度,Plate Transparency,プレート透明度,Plattendurchlässigkeit,Transparence de la plaque,Transparencia de la placa,Прозрачность пластины,ความโปร่งใสของแผ่น,투명도,شفافية اللوحة,Trasparenza della piastra,Transparência da placa
int_value,值,Value,値,Wert,Valeur,Valor,Значение,ค่า,값,القيمة,Valore,Valor
int_vehicle_speed,速度,Speed,速度,Geschwindigkeit,Vitesse,Velocidad,Скорость,ความเร็ว,속도,سرعة,Velocità,Velocidade
int_volume_music,背景音乐音量,Music Volume,ミュージックボリューム,Musiklautstärke,Volume de la musique,Volumen de música,Громкость музыки,ระดับเสียงเพลง,음악 볼륨,مستوى الصوت للموسيقى,Volume della musica,Volume de música
int_volume_sound,音效音量,Sound Volume,音声効果の音量,Soundlautstärke,Volume du son,Volumen de sonido,Громкость звука,ระดับเสียงเสียง,소리 볼륨,مستوى الصوت للأصوات,Volume del suono,Volume de som
int_volume_speech,语音音量,Dialogue Volume,ダイアログボリューム,Dialoglautstärke,Volume du dialogue,Volumen de diálogo,Громкость диалогов,ระดับเสียงพูด,대화 볼륨,مستوى الصوت للحوار,Volume del dialogo,Volume de diálogo
int_weight,重量,Weight,重さ,Gewicht,Poids,Peso,Вес,น้ำหนัก,무게,الوزن,Peso,Peso
int_weight_max,最大负重重量,Maximum Weight,最大積載重量,Maximale Gewicht,Poids maximum,Peso máximo,Максимальный вес,น้ำหนักสูงสุด,최대 하중,الحد الأقصى للوزن,Peso massimo,Peso máximo
int_xpos,X 坐标,X Coordinate,X 座標,X-Koordinate,Coordonnée X,Coordenada X,X-координата,พิกัด X,X 좌표,إحداثي X,Coordinata X,Coordenada X
int_xposition,目标横坐标(X),X Position,X 座標,X-Position,Position X,Posición X,Позиция X,ตำแหน่ง X,X 위치,موقع X,Posizione X,Posição X
int_ypos,Y 坐标,Y:,Y 座標,Y-Koordinate,Coordonnée Y,Coordenada Y,Y-координата,พิกัด Y,Y 좌표,إحداثي Y,Coordinata Y,Coordenada Y
int_yposition,目标高度(Y),Height,目標高度(Y),Höhe,Hauteur,Altura,Высота,ความสูง,높이,الارتفاع,Altezza,Altura
int_zposition,目标纵坐标(Z),Z Position,目標縱坐標(Z),Z-Position,Position Z,Posición Z,Позиция Z,ตำแหน่ง Z,Z 위치,موقع Z,Posizione Z,Posição Z
key_a,按键:A(跳跃),Button:A(Jump),ボタン:A(ジャンプ),Taste:A (Springen),Bouton : A (Saut),Botón: A (Saltar),Кнопка: A (Прыжок),ปุ่ม: A (กระโดด),버튼: A (점프),زر: A (القفز),Pulsante: A (Salto),Botão: A (Saltar)
key_b,按键:B,Button:B,ボタン:B,Taste:B,Bouton : B,Botón: B,Кнопка: B,ปุ่ม: B,버튼: B,زر: B,Pulsante: B,Botão: B
key_cancel,取消,Cancel,キャンセル,Abbrechen,Annuler,Cancelar,Отмена,ยกเลิก,취소,إلغاء,Annulla,Cancelar
key_confirm,确认,Confirm,確認,Bestätigen,Confirmer,Confirmar,Подтвердить,ยืนยัน,확인,تأكيد,Conferma,Confirmar
key_d,方向键:下(地图),Pad:Down(Map),方向キー:下(マップ),Pfeil:Runter(Karte),Flèche : Bas (Carte),Pad:Abajo(Mapa),Стрелка: Вниз (Карта),ปุ่มลูกศร: ลง (แผนที่),방향키: 아래(맵),مفتاح الاتجاه: أسفل (الخريطة),Tasto: Giù (Mappa),Padrão: Baixo (Mapa)
key_interact,互动,Interact,インタラクト,Interagieren,Interagir,Interactuar,Взаимодействие,ปฏิสัมพันธ์,상호 작용,تفاعل,Interagisci,Interagir
key_l,方向键:左(道具),Pad:Left(Inventory),方向キー:左(アイテム),Pfeil:Links(Inventar),Flèche : Gauche (Inventaire),Pad:Izquierda(Inventario),Стрелка: Влево (Инвентарь),ปุ่มลูกศร: ซ้าย (สินค้า),방향키: 왼쪽(인벤토리),مفتاح الاتجاه: اليسار (المخزون),Tasto: Sinistra (Inventario),Padrão: Esquerda (Inventário)
key_lb,按键:LB(回避),Button:LB(Dodge),ボタン:LB(回避),Taste:LB(Ausweichen),Bouton : LB(Éviter),Botón: LB(Esquiva),Кнопка: LB(Уклонение),ปุ่ม: LB(หลบหลีก),버튼: LB(회피),زر: LB(التجنب),Pulsante: LB(Schivare),Botão: LB(Esquiva)
key_lsd,左摇杆下(移动下),L-Stick Down(Move Down),左スティック下(下に移動),L-Stick Runter (Nach Unten bewegen),Bâton Gauche Bas (Aller en Bas),Palanca Izquierda Abajo (Mover Abajo),Левый стик вниз (Идти вниз),มือจับซ้ายลง (เคลื่อนที่ลง),왼쪽 스틱 아래 (아래로 이동),العصا اليسرى لأسفل (تحريك لأسفل),Stick Sinistro Giù (Muoviti in Basso),Bastão Esquerdo para Baixo (Mover para Baixo)
key_lsl,左摇杆左(移动左),L-Stick Left(Move Left),左スティック左(左に移動),L-Stick Links (Nach Links bewegen),Bâton Gauche Gauche (Aller à Gauche),Palanca Izquierda Izquierda (Mover a la Izquierda),Левый стик влево (Идти влево),มือจับซ้ายซ้าย (เคลื่อนที่ซ้าย),왼쪽 스틱 왼쪽 (왼쪽으로 이동),العصا اليسرى لليسار (تحريك لليسار),Stick Sinistro Sinistra (Muoviti a Sinistra),Bastão Esquerdo para a Esquerda (Mover para a Esquerda)
key_lsr,左摇杆右(移动右),L-Stick Right(Move Right),左スティック右(右に移動),L-Stick Rechts (Nach Rechts bewegen),Bâton Gauche Droite (Aller à Droite),Palanca Izquierda Derecha (Mover a la Derecha),Левый стик вправо (Идти вправо),มือจับซ้ายขวา (เคลื่อนที่ขวา),왼쪽 스틱 오른쪽 (오른쪽으로 이동),العصا اليسرى لليمين (تحريك لليمين),Stick Sinistro Destra (Muoviti a Destra),Bastão Esquerdo para a Direita (Mover para a Direita)
key_lsu,左摇杆上(移动上),L-Stick Up(Move Up),左スティック上(上に移動),L-Stick Hoch (Nach Oben bewegen),Bâton Gauche Haut (Aller en Haut),Palanca Izquierda Arriba (Mover Arriba),Левый стик вверх (Идти вверх),มือจับซ้ายขึ้น (เคลื่อนที่ขึ้น),왼쪽 스틱 위 (위로 이동),العصا اليسرى لأعلى (تحريك لأعلى),Stick Sinistro Su (Muoviti in Alto),Bastão Esquerdo para Cima (Mover para Cima)
key_lt,按键:LT(奔跑),Button:LT(Sprint),ボタン:LT(スプリント),Taste:LT(Rennen),Bouton : LT(Courir),Botón: LT(Correr),Кнопка: LT(Спринт),ปุ่ม: LT(วิ่ง),버튼: LT(달리기),زر: LT(الركض),Pulsante: LT(Corri),Botão: LT(Correr)
key_r,方向键:右(技能),Pad:Right(Skill),方向キー:右(スキル),Pfeil:Rechts(Fertigkeit),Flèche : Droite (Compétence),Pad:Derecha(Habilidad),Стрелка: Вправо (Умение),ปุ่มลูกศร: ขวา (ทักษะ),방향키: 오른쪽(스킬),مفتاح الاتجاه: اليمين (مهارة),Tasto: Destra (Abilità),Padrão: Direita (Habilidade)
key_rb,按键:RB(切换技能),Button:RB(Switch Skills),ボタン:RB(スキル切り替え),Taste:RB(Fertigkeiten wechseln),Bouton : RB(Changer de compétences),Botón: RB(Cambiar Habilidades),Кнопка: RB(Сменить навык),ปุ่ม: RB(เปลี่ยนทักษะ),버튼: RB(스킬 전환),زر: RB(تبديل المهارات),Pulsante: RB(Cambia Abilità),Botão: RB(Trocar Habilidades)
key_rba,按键:RB+A,Button:RB+A,ボタン:RB+A,Taste:RB+A,Bouton : RB+A,Botón: RB+A,Кнопка: RB+A,ปุ่ม: RB+A,버튼: RB+A,زر: RB+A,Pulsante: RB+A,Botão: RB+A
key_rbb,按键:RB+B,Button:RB+B,ボタン:RB+B,Taste:RB+B,Bouton : RB+B,Botón: RB+B,Кнопка: RB+B,ปุ่ม: RB+B,버튼: RB+B,زر: RB+B,Pulsante: RB+B,Botão: RB+B
key_rbx,按键:RB+X,Button:RB+X,ボタン:RB+X,Taste:RB+X,Bouton : RB+X,Botón: RB+X,Кнопка: RB+X,ปุ่ม: RB+X,버튼: RB+X,زر: RB+X,Pulsante: RB+X,Botão: RB+X
key_rby,按键:RB+Y,Button:RB+Y,ボタン:RB+Y,Taste:RB+Y,Bouton : RB+Y,Botón: RB+Y,Кнопка: RB+Y,ปุ่ม: RB+Y,버튼: RB+Y,زر: RB+Y,Pulsante: RB+Y,Botão: RB+Y
key_rsd,右摇杆下(视野下),R-Stick Down(View Down),右スティック下(ビューを下げる),R-Stick Runter (Sicht nach unten),Bâton Droit Bas (Vue vers le bas),Palanca Derecha Abajo (Ver Abajo),Правый стик вниз (Вид вниз),มือจับขวาลง (มุมมองลง),오른쪽 스틱 아래 (아래로 시야 이동),العصا اليمنى لأسفل (الرؤية للأسفل),Stick Destro Giù (Visuale in Basso),Bastão Direito para Baixo (Ver para Baixo)
key_rsl,右摇杆左(视野左),R-Stick Left(View Left),右スティック左(ビューを左に),R-Stick Links (Sicht nach links),Bâton Droit Gauche (Vue à gauche),Palanca Derecha Izquierda (Ver a la Izquierda),Правый стик влево (Вид налево),มือจับขวาซ้าย (มุมมองซ้าย),오른쪽 스틱 왼쪽 (왼쪽 시야),العصا اليمنى لليسار (الرؤية لليسار),Stick Destro Sinistra (Visuale a Sinistra),Bastão Direito para a Esquerda (Ver para a Esquerda)
key_rsr,右摇杆右(视野右),R-Stick Right(View Right),右スティック右(ビューを右に),R-Stick Rechts (Sicht nach rechts),Bâton Droit Droite (Vue à droite),Palanca Derecha Derecha (Ver a la Derecha),Правый стик вправо (Вид направо),มือจับขวาขวา (มุมมองขวา),오른쪽 스틱 오른쪽 (오른쪽 시야),العصا اليمنى لليمين (الرؤية لليمين),Stick Destro Destra (Visuale a Destra),Bastão Direito para a Direita (Ver para a Direita)
key_rsu,右摇杆上(视野上),R-Stick Up(View Up),右スティック上(ビューを上げる),R-Stick Hoch (Sicht nach oben),Bâton Droit Haut (Vue vers le haut),Palanca Derecha Arriba (Ver Arriba),Правый стик вверх (Вид вверх),มือจับขวาขึ้น (มุมมองขึ้น),오른쪽 스틱 위 (위로 시야 이동),العصا اليمنى لأعلى (الرؤية للأعلى),Stick Destro Su (Visuale in Alto),Bastão Direito para Cima (Ver para Cima)
key_rt,按键:RT(格挡),Button:RT(Guard),ボタン:RT(ガード),Taste:RT(Schutz),Bouton : RT(Garde),Botón: RT(Proteger),Кнопка: RT(Защита),ปุ่ม: RT(ป้องกัน),버튼: RT(보호),زر: RT(الحماية),Pulsante: RT(Difesa),Botão: RT(Proteger)
key_select,选择(暂停/投币),Select(Pause/Coin),選択(一時停止/コイン),Auswahl(Pause/Münze),Sélection(Pause/Pièce),Seleccionar(Pausa/Moneda),Выбор(Пауза/Монета),เลือก(พัก/เหรียญ),선택(일시 정지/코인),اختيار (إيقاف مؤقت / عملة),Seleziona(Pausa/Moneta),Selecionar(Pausa/Moeda)
key_start,开始(菜单),Start(Menu),開始(メニュー),Start(Menu),Démarrer(Menu),Iniciar(Menú),Начать(Меню),เริ่ม(เมนู),시작(메뉴),بدء (القائمة),Avvia(Menu),Iniciar(Menu)
key_u,方向键:上(手电),Pad:Up(Flashlight),方向キー:上(フラッシュライト),Pfeil:Nach oben(Taschenlampe),Flèche : Haut (Lampe de poche),Pad:Arriba(Linterna),Стрелка: Вверх (Фонарик),ปุ่มลูกศร: ขึ้น (ไฟฉาย),방향키: 위 (손전등),مفتاح الاتجاه: أعلى (المصباح اليدوي),Tasto: Su (Torcia),Padrão: Cima (Lanterna)
key_x,按键:X,Button:X,ボタン:X,Taste:X,Bouton : X,Botón: X,Кнопка: X,ปุ่ม: X,버튼: X,زر: X,Pulsante: X,Botão: X
key_y,按键:Y,Button:Y,ボタン:Y,Taste:Y,Bouton : Y,Botón: Y,Кнопка: Y,ปุ่ม: Y,버튼: Y,زر: Y,Pulsante: Y,Botão: Y
lang,语言,Languages,言語,Sprachen,Langues,Idiomas,Языки,ภาษา,언어,اللغات,Lingue,Idiomas
Languages,简体中文,ENGLISH,日本語,Deutsch,français,español,русский,ไทย,한국어,العربية,italiano,português
LIFE,生命数,Lives,生命,Leben,Vies,Vidas,Жизни,ชีวิต,생명,حياة,Vite,Vidas
list_animation_cancellevel,取消级别,Cancel Level,キャンセルレベル,Abbruch-Ebene,Niveau d'annulation,Nivel de cancelación,Уровень отмены,ระดับยกเลิก,취소 레벨,مستوى الإلغاء,Livello di annullamento,Nível de Cancelamento
list_animation_category,动画类别,Animation Category,アニメーションカテゴリ,Animationskategorie,Catégorie d'animation,Categoría de animación,Категория анимации,หมวดหมู่อนิเมชัน,애니메이션 카테고리,فئة الرسوم المتحركة,Categoria di animazione,Categoria de Animação
list_animation_dlcgroup,DLC分类,DLC Group,DLC グループ,DLC-Gruppe,Groupe de DLC,Grupo de DLC,Группа DLC,กลุ่ม DLC,DLC 그룹,مجموعة DLC,Gruppo DLC,Grupo de DLC
list_animation_group,角色类别,Model,アニメーショングループ,Modell,Groupe d'animation,Modelo,Группа анимации,กลุ่มแอนิเมชัน,모델,مجموعة الرسوم المتحركة,Gruppo di animazione,Grupo de animação
list_animation_material,材质,Material,アニメーション材料,Material,Matériau d'animation,Material de animación,Материал анимации,วัสดุแอนิเมชัน,애니메이션 재료,مادة الرسوم المتحركة,Materiale di animazione,Material de Animação
list_animation_section,动作段位,Move Section,アニメーションセクション,Animationsabschnitt,Section d'animation,Sección de movimiento,Секция анимации,ส่วนการเคลื่อนไหว,이동 섹션,قسم الحركة,Sezione di animazione,Seção de Movimento
list_avaliable_group,适用体型,Available Group,利用可能なグループ,Verfügbarkeitsgruppe,Groupe disponible,Grupo disponible,Доступная группа,กลุ่มที่ใช้ได้,사용 가능한 그룹,المجموعة المتاحة,Gruppo disponibile,Grupo Disponível
list_avaliable_group,适用角色,Available Group,利用可能なグループ,Verfügbarkeitsgruppe,Groupe disponible,Grupo disponible,Доступная группа,กลุ่มที่ใช้ได้,사용 가능한 그룹,المجموعة المتاحة,Gruppo disponibile,Grupo Disponível
