LANGUAGE,简体中文,ENGLISH,日本語,Deutsch,Français,Español,Русский язык,ภาษาไทย,한국어,اللغة العربية,Italiano,português
QUESTCANREPEAT,可重复,REPEATABLE,リピート可能,WIEDERHOLBAR,Répétable,Repetible,повторяемый,สามารถทำซ้ำได้,반복 가능,قابل للتكرار,Ripetibile,Repetível
QUESTDESCRIPTION,任务描述,DESCRIPTION,説明,DESCRIPTION,Description,Descripción,описание,คำอธิบาย,설명,الوصف,Descrizione,Descrição
QUESTEXPIRED,已过期,EXPIRED,期限切れ,ABGELAUFEN,Expiré,Vencido,истекший,หมดอายุ,만료,انتهت الصلاحية,Scaduto,Expirado
QUESTLEVEL,任务等级,QUEST LEVEL,クエストレベル,QUEST-LEVEL,Niveau de quête,Nivel de misión,уровень задания,เลเวลเควส,퀘스트 레벨,مستوى المهمة,Livello missione,Nível da Missão
QUESTMAIN,主线剧情,MAIN STORY,メインストーリー,Hauptgeschichte,Histoire principale,Historia principal,Сюжет,เรื่องหลัก,본문,القصة الرئيسية,Storia principale,História principal
QUESTREWARD,任务奖励,REWARD,報酬,PRÄMIE,Récompense,Recompensa,награда,รางวัล,보상,مكافأة,Ricompensa,Recompensa
QUESTSUB,支线任务,QUESTS,サブクエスト,NEBENQUESTS,Quêtes secondaires,Misiones secundarias,подзадания,เควสรอง,서브 퀘스트,مهام فرعية,Missioni secondarie,Missões Secundárias
QUESTSUBEND,已完成,FINISHED,クリア,ABGESCHLOSSEN,Terminé,Terminado,завершено,เสร็จสิ้น,완료,تم الانتهاء,Completato,Concluído
QUESTSUBFAILED,已失败,FAILED,失敗,FEHLGESCHLAGEN,Échec,Fallido,провалено,ล้มเหลว,실패,فشل,Non riuscito,Falhou
QUESTSUBGET,领取任务,ACCEPT,クエスト受注,ANNEHMEN,Accepter,Aceptar,принять,รับงาน,임무 수락,قبول,Accetta,ACEITAR
QUESTSUBINPROGRESS,进行中,IN PROGRESS,進行中,IN BEARBEITUNG,En cours,En progreso,в процессе,กำลังดำเนินการ,진행 중,قيد التنفيذ,In corso,Em Progresso
QUESTSUBNEW,新任务,AVALIABLE,新しいクエスト,VERFÜGBAR,Nouvelle quête,Disponible,новое задание,มีใหม่,새 퀘스트,متاح,Disponibile,Disponível
QUESTSUBNOTSTART,未开始,NOT STARTED,未開始,NOCH NICHT BEGONNEN,Non commencé,No empezado,не начато,ยังไม่เริ่ม,아직 시작되지 않음,لم يبدأ بعد,Non iniziato,Não Iniciado
QUESTSUBSUBMIT,提交任务,SUBMIT,クエスト提出,ABGEBEN,Remettre,Entregar,представить,ส่ง,제출,تقديم,Presentare,Enviar
QUESTSUBSUSPEND,终止任务,SUSPEND,クエスト中止,UNTERBRECHEN,Suspendre,Suspender,приостановить,ระงับ,일시 중단,تعليق,Interrompere,Suspender
RAISED,增加了,HAS RAISED,増加しました,HAT ERHÖHT,Augmenté,Ha aumentado,увеличилось,เพิ่มขึ้น,증가했습니다,تم زيادته,È aumentato,Subiu
SAVEAUTO,自动存档,AUTO SAVE,自動セーブ,AUTO SPEICHERN,Sauvegarde automatique,Guardado automático,автосохранение,บันทึกอัตโนมัติ,자동 저장,حفظ تلقائي,Salvataggio automatico,Salvar Automático
SAVEEMPTY,无存档,EMPTY,セーブなし,LEER,VIDE,空,без сохранения,ว่างเปล่า,비어 있음,فارغ,SENZA SALVATAGGIO,VAZIO
SAVELOAD,读取,LOAD,読み込み,LESEN,Lire,Cargar,загрузить,โหลด,로드,تحميل,Caricare,Carregar
SAVESAVE,保存,SAVE,セーブ,SPREICHERN,Enregistrer,Guardar,сохранить,บันทึก,저장,حفظ,Salva,Salvar
SCORE,分数,SCORE,スコア,PUNKTZAHL,Score,Puntuación,счет,คะแนน,점수,النقاط,Punteggio,Pontuação
SHOPCHOOSEQUANTITY,请选择商品数量,PLEASE CHOOSE QUANTITY,数量を選択してください,BITTE MENGE AUSWÄHLEN,VEUILLEZ CHOISIR LA QUANTITÉ,POR FAVOR ELIGE LA CANTIDAD,пожалуйста, выберите количество,โปรดเลือกจำนวน,수량을 선택하십시오,الرجاء اختيار الكمية,SI PREGA DI SCEGLIERE LA QUANTITÀ,POR FAVOR, ESCOLHA A QUANTIDADE
SHOPITEM,商品,ITEMS,アイテム,WAREN,Objets,Ítems,товары,ไอเทม,아이템,العناصر,Oggetti,Itens
SHOPOUTOFSTOCK,售罄,OUT OF STOCK,在庫切れ,NIHT AUF LAGER,En rupture de stock,Sin stock,нет в наличии,สินค้าหมด,재고 없음,إنتهاء الإمداد,Esaurito,Fora de Estoque
SHOPPRICE,价格,PRICE,価格,PREIS,Prix,Precio,цена,ราคา,가격,السعر,Prezzo,Preço
SHOPPRICETOTAL,商品总价,TOTAL PRICE,合計価格,GESAMTPREIS,Prix total,Precio total,общая стоимость,ราคารวม,총 가격,السعر الإجمالي,Prezzo totale,Preço Total
SHOPPURCHASE,购买,PURCHASE,購入,KAUFEN,Achat,Comprar,покупка,ซื้อ,구매,شراء,Acquisto,Compra
SHOPQUANTITY,数量,QUANTITY,数量,MENGE,Quantité,Cantidad,количество,จำนวน,수량,الكمية,Quantità,Quantidade
SHOPSELL,出售,SELL,販売,VERKAUFEN,Vendre,Vender,продажа,ขาย,판매,بيع,Vendere,Vender
SHOPSELLPRICE,出售价格,SELL PRICE,販売価格,Verkaufspreis,Prix de vente,Precio de venta,Цена продажи,ราคาขาย,판매 가격,سعر البيع,Prezzo di vendita,Preço de venda
SHOPSTOCK,库存,STOCK,インベントリー,Inventar,inventaire,inventario,инвентарь,สินค้า คง คลัง,목록,جرد,inventario,Preço de venda
SILVER,银,SILVER,シルバー,SILBER,Argent,Plata,серебро,เงิน,은,فضة,Argento,Prata
skill_passive_ad,附加伤害,Additional Damage,追加ダメージ,Zusätzlicher Schaden,Dégâts supplémentaires,Daño adicional,дополнительный урон,ความเสียหายเพิ่มเติม,추가 데미지,أذى إضافي,Danno Aggiuntivo,Dano Adicional
skill_passive_af,命中补正,Accuracy Fix,命中補正,Treffsicherheit,Correction de précision,Corrección de precisión,коррекция точности,ความแม่นยำแก้ไข,정확도 수정,تصحيح الدقة,Correzione di Precisione,Correção de Precisão
skill_passive_bt,背刺伤害,Backstab Damage,背後打撃ダメージ,Hinterhältiger Schaden,Dégâts de coup de grâce,Daño de emboscada,урон от засады,ความเสียหายจากการโจมตีท่าทางซ่อนกล,Sneak Attack Damage,أذى الغدر,Danno da Agguato,Dano de Ataque Surpresa
skill_passive_cc,暴击几率,Critical Chance,クリティカルチャンス,Kritische Treffer Chance,Chance critique,Probabilidad de golpe crítico,шанс критического удара,โอกาสโจมตีโดยวิธีร้าย,치명타 확률,فرصة الضرب الحرجة,Probabilità di Colpo Critico,Chance Crítica
skill_passive_cd,暴击伤害,Critical Damage,クリティカルダメージ,Kritischer Treffer Schaden,Dégâts critiques,Daño crítico,критический урон,ความเสียหายจากการโจมตีท่าทางอันตราย,치명타 데미지,ضرر الضربة الحرجة,Danno Critico,Dano Crítico
skill_passive_cf,冷却补正,Cooldown fix,クールダウン補正,Abklingzeitreduktion,Correction de temps de recharge,Corrección de tiempo de reutilización,коррекция времени восстановления,การแก้ไขเวลาหยุดพัก,쿨다운 수정,تصحيح وقت الانتعاش,Correzione del Tempo di Recupero,Correção de Tempo de Recarga
skill_passive_dc,闪避修正,Dodge Fix,回避補正,Ausweichbonus,Correction d'esquive,Corrección de esquive,коррекция уклонения,การแก้ไขการหลบหลีก,회피 수정,تصحيح التجنب,Correzione dell'Elusione,Correção de Esquiva
skill_passive_dh,吸收生命,Drain Health,生命吸収,Lebensentzug,Drain de santé,Absorción de salud,поглощение здоровья,ดูดเลือดชีวิต,생명력 흡수,امتصاص الصحة,Assorbimento di Vita,Absorção de Vida
skill_passive_di,伤害加成,Damage Increasing,ダメージ増加,Erhöhung des Schadens,Augmentation des dégâts,Aumento de daño,увеличение урона,เพิ่มความเสียหาย,데미지 증가,زيادة الضرر,Aumento del Danno,Aumento de Dano
skill_passive_dr,掉落率,Drop Rate,ドロップ率,Drop-Rate,Taux de drop,Tasa de caída,шанс выпадения,อัตราการดรอป,드랍 확률,معدل الهبوط,Tasso di Caduta,Taxa de Queda
skill_passive_ds,吸收体力,Drain Stamina,スタミナ吸収,Stamina-Entzug,Drain de stamina,Absorción de resistencia,поглощение выносливости,ดรายน์สแตมินา,스태미너 흡수,امتصاص القدرة,Assorbimento di Stamina,Absorção de Resistência
skill_passive_fp,不屈,Fortitude,不屈,Widerstandskraft,Fortitude,Fortaleza,стойкость,ความแข็งแกร่ง,불굴,صلابة,Fortezza,Fortitude
skill_passive_gr,一般抗性,General Resistant,一般耐性,Allgemeiner Widerstand,Résistant général,Resistencia general,общее сопротивление,ความต้านทานทั่วไป,일반 저항,مقاومة عامة,Resistenza Generale,Resistência Geral
skill_passive_hr,生命恢复(秒/回合),Health Regenerate,体力再生(秒/回合),Lebensregeneration pro Sekunde,Régénération de santé,Regeneración de salud,регенерация здоровья,การฟื้นคืนสุขภาพ,체력 재생(초/턴),استعادة الصحة,Recupero della Salute,Regeneração de Saúde
skill_passive_mr,魔力恢复(秒/回合),Mana Regenerate,マナ再生(秒/回合),Manaregeneration pro Sekunde,Régénération de mana,Regeneración de maná,восстановление маны,การฟื้นคืนพลังงาน,마나 재생(초/턴),استعادة الطاقة,Recupero del Mana,Regeneração de Mana
skill_passive_nr,异常状态抗性,Nerf Resistant,ステータス劣化耐性,Debuff-Resistenz,Résistant au débuff,Resistente al debuff,резист к дебаффу,ความต้านทานเอฟเฟคแย่ง,디버프 저항,مقاومة تأثير سلبي,Resistente al Debuff,Resistência ao Debuff
skill_passive_rd,反射伤害,Damage Reflection,ダメージ反射,Schadensreflexion,Réflexion des dégâts,Reflejo de daño,отражение урона,การสะท้อนความเสียหาย,피해 반사,الانعكاس الضرر,Riflessione del Danno,Reflexão de Dano
skill_passive_rs,重复打击,Repeat Strikes,連続打撃,Wiederholte Schläge,Attaques répétées,Golpes repetidos,повторяющиеся удары,การตีซ้ำ,반복 타격,ضربات متكررة,Colpi Ripetuti,Golpes Repetidos
skill_passive_sr,体力恢复(秒/回合),Stamina Regenerate,スタミナ再生(秒/回合),Ausdauerregeneration pro Sekunde,Régénération de stamina,Regeneración de resistencia,восстановление выносливости,การฟื้นคืนสตามินา,체력 재생(초/턴),استعادة القدرة,Recupero della Stamina,Regeneração de Resistência
SKILLACCURACY,命中率,ACCURACY,命中率,Genauigkeit,Précision,Precisión,точность,ความแม่นยำ,정확도,الدقة,Precisione,Precisão
SKILLACTIVE,主动技能,ACTIVE,アクティブスキル,Aktive Fähigkeit,Compétence active,Habilidad activa,активное умение,ทักษะแอคทีฟ,능동 스킬,مهارة نشطة,Abilità Attiva,Habilidade Ativa
SKILLAIR,空中技,AIR SKILL,エアースキル,Luftfertigkeit,Compétence aérienne,Habilidad aérea,навык в воздухе,ทักษะอากาศ,공중 스킬,مهارة الهواء,Abilità Aerea,Habilidade Aérea
SKILLALL,技能一览,ALL SKILLS,すべてのスキル,ALLE FÄHIGKEITEN,Toutes les compétences,Todas las habilidades,все умения,ทักษะทั้งหมด,모든 스킬,جميع المهارات,Tutte le Abilità,Todas as Habilidades
SKILLCD,冷却时间,COOL TIME,クールタイム,Abklingzeit,Temps de recharge,Tiempo de enfriamiento,время восстановления,เวลาเย็น,쿨 타임,وقت التبريد,Tempo di Recupero,Tempo de Resfriamento
SKILLCOST,技能消耗,SKILL COST,スキルコスト,Fähigkeitskosten,Coût de compétence,Costo de habilidad,стоимость умения,ค่าทักษะ,스킬 비용,تكلفة المهارة,Costo della Abilità,Custo da Habilidade
SKILLEQUIP,选择技能,SELECT SKILL,スキルを選択,SKILL AUSWÄHLEN,Sélectionner une compétence,Seleccionar habilidad,выбор умения,เลือกทักษะ,스킬 선택,اختيار المهارة,Seleziona Abilità,Selecionar Habilidade
SKILLHIT,连击数,HITS,ヒット数,Treffer,Nombre de coups,Impactos,попаданий,จำนวนการโจมตี,타격 수,عدد الضربات,Colpi,Número de acertos
SKILLLEARN,学习技能,LEARN SKILL,スキルを学ぶ,FERNERE SKILL,Apprendre une compétence,Aprender habilidad,изучение умения,เรียนรู้ทักษะ,스킬 배우기,تعلم مهارة,Apprendi una Abilità,Aprenda uma Habilidade
SKILLLEARNED,学会了,LEARNED,習得済み,GELEHRT,Appris,Aprendido,изучено,เรียนรู้แล้ว,배웠다,تعلمت,Imparato,Aprendido
SKILLLEVEL,技能等级,SKILL LEVEL,スキルレベル,Fähigkeitsstufe,Niveau de compétence,Nivel de habilidad,уровень умения,ระดับทักษะ,스킬 레벨,مستوى المهارة,Livello della Abilità,Nível da Habilidade
SKILLMAGICAL,魔法技能,MAGICAL SKILL,魔法スキル,Magische Fähigkeit,Compétence magique,Habilidad mágica,магическое умение,ทักษะเวทมนตร์,마법 스킬,مهارة سحرية,Abilità Magica,Habilidade Mágica
SKILLMAIN,返回技能菜单,RETURN TO SKILLS,スキルメインに戻る,ZURÜCK ZU DEN FÄHIGKEITEN,RETOUR AUX COMPÉTENCES,REGRESAR A HABILIDADES,ВЕРНУТЬСЯ К УМЕНИЯМ,กลับสู่ทักษะ,스킬로 돌아가기,العودة إلى المهارات,RITORNA ALLE ABILITÀ,VOLTAR PARA HABILIDADES
SKILLMULTI,群体攻击,MULTIPLE,複数,MEHRERE,Plusieurs,Múltiple,несколько,หลาย,여러 개,متعددة,Multiplo,Múltiplo
SKILLNOCOST,无消耗,NO COST,コストなし,KOSTENLOS,Pas de coût,Sin costo,без затрат,ไม่มีค่าใช้จ่าย,비용 없음,بدون تكلفة,Nessun costo,Sem custo
SKILLNOLEVEL,等级不足,LEVEL NOT REACH,レベル不足,LEVEL NICHT ERREICHT,Niveau non atteint,Nivel no alcanzado,не достигнут уровень,ระดับไม่ถึง,레벨 부족,المستوى غير متاح,Livello Non Raggiunto,Nível Não Alcançado
SKILLNORMALSKILL,一般技能,NORMAL SKILL,通常スキル,Normalfähigkeit,Compétence normale,Habilidad normal,обычное умение,ทักษะปกติ,일반 스킬,مهارة عادية,Abilità Normale,Habilidade Normal
SKILLNOSKILL,无技能,NO SKILL,スキルなし,KEINE FÄHIGKEIT,Aucune compétence,Sin habilidad,нет умения,ไม่มีทักษะ,스킬 없음,لا توجد مهارة,Senza Abilità,Sem Habilidade
SKILLNOSP,技能点不足,NOT ENOUGH SKILL POINTS,スキルポイント不足,NICHT GENÜGEND FÄHIGKEITSPUNKTE,Points de compétence insuffisants,Puntos de habilidad insuficientes,недостаточно очков умения,จำนวนคะแนนทักษะไม่เพียงพอ,스킬 포인트 부족,لا يكفي نقاط المهارة,Punti Abilità Insufficienti,Pontos de Habilidade Insuficientes
SKILLNOTSET,未设置,NOT SET,未設定,NICHT FESTGELEGT,Non défini,No configurado,не установлено,ไม่ได้ตั้งค่า,설정 안 됨,لم يتم التعيين,Bloccato,Configuração não definida
SKILLNOUSE,无法使用,UNAVALIABLE,使用不可,UNMÖGLICH ZU VERWENDEN,Indisponible,No disponible,недоступен,ไม่สามารถใช้ได้,사용 불가능,غير متاح,Non disponibile,Indisponível
SKILLPASSIVE,被动技能,PASSIVE,パッシブスキル,Passive Fähigkeit,Compétence passive,Habilidad pasiva,пассивное умение,ทักษะแบบไม่แสดงออก,패시브 스킬,مهارة سلبية,Abilità Passiva,Habilidade Passiva
SKILLPHYSICAL,物理技能,PHYSICAL SKILL,物理スキル,Physische Fähigkeit,Compétence physique,Habilidad física,физическое умение,ทักษะทางกายภาพ,물리 스킬,مهارة فيزيائية,Abilità Fisica,Habilidade Física
SKILLPOWER,技能威力,POWER,スキル威力,Stärke,Force,Potencia,сила,พลัง,파워,القوة,Potenza,Potência
SKILLRANGE,技能范围,RANGE,スキル範囲,Bereich,Portée,Rango,диапазон,ระยะทาง,범위,نطاق,Intervallo,Alcance
SKILLRBA,技能 RB+A,SKILL RB+A,スキルRB+A,SKILL RB+A,SKILL RB+A,SKILL RB+A,SKILL RB+A,SKILL RB+A,SKILL RB+A,SKILL RB+A,SKILL RB+A,SKILL RB+A,SKILL RB+A,SKILL RB+A
SKILLRBB,技能 RB+B,SKILL RB+B,スキルRB+B,SKILL RB+B,SKILL RB+B,SKILL RB+B,SKILL RB+B,SKILL RB+B,SKILL RB+B,SKILL RB+B,SKILL RB+B,SKILL RB+B,SKILL RB+B,SKILL RB+B
SKILLRBX,技能 RB+X,SKILL RB+X,スキルRB+X,SKILL RB+X,SKILL RB+X,SKILL RB+X,SKILL RB+X,SKILL RB+X,SKILL RB+X,SKILL RB+X,SKILL RB+X,SKILL RB+X,SKILL RB+X,SKILL RB+X
SKILLRBY,技能 RB+Y,SKILL RB+Y,スキルRB+Y,SKILL RB+Y,SKILL RB+Y,SKILL RB+Y,SKILL RB+Y,SKILL RB+Y,SKILL RB+Y,SKILL RB+Y,SKILL RB+Y,SKILL RB+Y,SKILL RB+Y,SKILL RB+Y
SKILLSP,所需技能点,SKILL POINTS REQUIRES,必要なスキルポイント,ERFORDERLICHE FÄHIGKEITSPUNKTE,Points de compétence requis,Puntos de habilidad necesarios,требуется очков умения,จำเป็นต้องใช้คะแนนทักษะ,필요한 스킬 포인트,نقاط المهارة المطلوبة,Punti Abilità Richiesti,Pontos de Habilidade Necessários
SKILLTRUEDAMAGE,真实伤害技能,TRUE DAMAGE,真ダメージ,WAHRER SCHADEN,Dégâts réels,Daño real,истинный урон,ความเสียหายแท้จริง,진짜 데미지,ضرر حقيقي,Danno Vero,Dano Verdadeiro
SKILLUNEQUIP,解除技能,UNSELECT SKILL,スキル解除,SKILL ABBRECHEN,Désélectionner la compétence,Deseleccionar habilidad,снять выбор с умения,ยกเลิกการเลือกทักษะ,스킬 선택 해제,إلغاء تحديد المهارة,Annulla selezione,Cancelar Seleção
SKILLUSE,使用技能,USE SKILL,スキル使用,VERWENDE FÄHIGKEIT,Utiliser la compétence,Usar habilidad,использовать умение,ใช้ทักษะ,스킬 사용,استخدام المهارة,Usa Abilità,Usar Habilidade
SP,必杀技,ULTIMATE,アルティメット,ULTIMATE,Ultime,Definitivo,Ультиматум,ความสำคัญสูงสุด,알티메이트,التميت,Finale,Final
SPMAX,最大必杀技,MAXIMUM ULTIMATE,アルティメット最大,Maximale Spezialattacke,Coup spécial maximum,Movimiento especial máximo,Максимальный ультиматум,ความสำคัญสูงสุดสุด,알티메이트 최대,التميت الأقصى,Massimo Finale,Máximo Final
STAMINA,体力,STAMINA,スタミナ,STAMINA,Endurance,Resistencia,выносливость,สตามิน่า,스태미너,القدرة على التحمل,Stamina,Estamina
STAMINAMAX,最大体力,MAXIMUM STAMINA,最大スタミナ,MAXIMALE AUSDAUER,Endurance maximale,Máxima resistencia,максимальная выносливость,สตามิน่าสูงสุด,최대 스태미너,أقصى قدرة على التحمل,Massima Resistenza,Máxima Estamina
STRINGACHIEVEMENTGRADE,成就级别,GRADE,実績のランク,GRAD,Grade,GRADO,степень,เกรด,등급,درجة,Grado,Graduação
STRINGALLENEMY,全部敌人,ALL ENEMIES,すべての敵,ALLE GEGNER,Tous les ennemis,Todos los enemigos,все враги,ศัตรูทั้งหมด,모든 적,جميع الأعداء,Tutti i nemici,Todos os Inimigos
STRINGALLTEAM,全体,ALL,全員,ALLE,Membres de l'équipe,Equipo completo,все,ทีมทั้งหมด,전체 팀,جميع الفرق,Team completo,Todos os Membros
STRINGARMOR,护甲,ARMOR,防具,RAÜSTUNG,Armure,Armadura,броня,เกราะ,갑옷,درع,Armatura,Armadura
STRINGATTACK,攻击,ATTACK,攻撃,ANGRIFF,Attaque,Ataque,атака,โจมตี,공격,هجوم,Attacco,Ataque
STRINGAUTO,自动,AUTO,オート,AUTOMATISCH,Automatique,Automático,авто,อัตโนมัติ,자동,تلقائي,Automatico,Automático
STRINGCDING,冷却中,COOLDOWN,クールダウン中,ABKÜHLUNG,En refroidissement,En enfriamiento,охлаждение,การเย็นลง,쿨다운 중,فترة الانتظار,Cooling down,Rrefrigeração
STRINGCLOCK,时间,CLOCK,時計,UR,Zegar,Reloj,Часы,นาฬิกา,시계,الساعة,Orologio,Relógio
STRINGCLOSE,关闭,CLOSE,閉じる,SCHLIEßEN,Fermer,Cerrar,закрыть,ปิด,닫기,اغلق,Chiudi,Fechar
STRINGCOMBO,连击,COMBO,コンボ,KOMBINATION,Combo,Combo,комбо,คอมโบ,콤보,كومبو,Combo,Combo
STRINGCONFIRM,确认,CONFIRM,確認, BESTÄTIGEN,Confirmer,Confirmar,подтвердить,ยืนยัน,확인,تأكيد,Conferma,Confirmar
STRINGCURE,治愈,CURE,治療,HEILUNG,Guérison,Cura,лечение,รักษา,치료,علاج,Cura,Cura
STRINGCUREBLEED,流血解除,BLEED RECOVERED,出血回復,Blutung wiederhergestellt,Récupération du saignement,Sangrado recuperado,кровотечение восстановлено,การฟื้นคืนการเลือด,피 흘림 회복됨,استعادة النزيف,Sanguinamento recuperato,Sangramento Recuperado
STRINGCUREBLIND,致盲解除,BLIND RECOVERED,盲目回復,Blindheit wiederhergestellt,Récupération de la cécité,Ceguera recuperada,восстановление зрения,การฟื้นคืนการตาบอด,실명 복구됨,استعادة العمى,Cecità recuperata,Cegueira Recuperada
STRINGCUREPOSION,中毒解除,POISON RECOVERED,毒回復,VERGIFTUNG WIEDERHERGESTELLT,Reprise du poison,Veneno recuperado,восстановление яда,การฟื้นคืนสารพิษ,독 회복됨,استعادة السم,Curare avvelenamento,Veneno Recuperado
STRINGCURESLOW,减速解除,SLOW RECOVERED,スロー回復,LANGSAMKEIT WIEDERHERGESTELLT,Récupération de la lenteur,Lentitud recuperada,восстановление замедления,การฟื้นคืนความช้า,슬로우 회복됨,استعادة التباطؤ,Lentezza recuperata,Lentidão Recuperada
STRINGCURESTUN,眩晕解除,STUN RECOVERED,スタン回復,STUN WIEDERHERGESTELLT,Récupération de l'étourdissement,Aturdimiento recuperado,восстановление оглушения,การฟื้นคืนการช็อก,스턴 회복됨,استعادة الصدمة,Stordimento recuperato,Tontura Recuperada
STRINGDAY,天,DAY,日,Himmel,ciel,cielo,небо,ฟ้า,하늘,سماء,cielo,céu
STRINGELEFTTEAM,离开了队伍,HAS LEFT TEAM,チームを離れました,IST AUS DEM TEAM AUSGETRETEN,A quitté l'équipe,Ha abandonado el equipo,покинул команду,ออกจากทีม,팀을 나갔습니다,غادر الفريق,Ha lasciato il team,Saiu do Time
STRINGENDOFTURN,结束回合,END OF TURN,ターン終了,ENDE DER RUNDE,Fin du tour,Fin de turno,конец хода,สิ้นสุดตา,턴 종료,نهاية الدور,Fine del turno,Fim do turno
STRINGENDURE,霸体,ENDURE,忍耐,ERTRAGEN,Endurer,Soportar,терпеть,ทน,견딜,احتمال,Sopportare,Suportar
STRINGENTER,进入,ENTER,入る,EINTRETEN,Entrer,Entrar,вход,เข้า,들어가기,الدخول,Entrare,Entrar
STRINGEQUIPPED,装备中,EQUIPPED,装備中,AUSGERÜSTET,Équipé,Equipado,вооружен,ที่ติดตั้งอยู่,장비 중,مجهز,Equipaggiato,Equipado
STRINGESCAPE,逃跑,ESCAPE,逃げる,ENTKOMMEN,S'échapper,Escapar,сбежать,หนี,달아나기,الهروب,Fuga,Escapar
STRINGESCAPED,一行人逃离了战斗,ESCAPED FROM FIGHT,戦闘から逃げ出した,AUS DEM KAMPF ENTKOMMEN,Échappé au combat,Escapó de la pelea,сбежал из боя,หนีออกจากการสู้รบ,전투에서 도망쳤습니다,هرب من المعركة,Fuggito dalla lotta,Escapou da luta
STRINGESCAPEFAIL,逃跑失败,FAILED TO ESCAPE,逃げることができませんでした,FLUCHT GESCHEITERT,N'a pas réussi à s'échapper,Falló al escapar,не удалось сбежать,ล้มเหลวในการหนี,도망에 실패했습니다,فشل في الهروب,Fallito nel tentativo di fuga,Falha ao escapar
STRINGEVENT,事件,EVENT,イベント,EVENT,Événement,Evento,событие,เหตุการณ์,이벤트,حدث,Evento,Evento
STRINGFASTTRAVEL,快速移动到选定场景,FAST TRAVEL TO SELECTED MAP,選択したマップへの高速移動,ZUM AUSGEWÄHLTEN KARTE SCHNELL REISEN,Voyage rapide vers la carte sélectionnée,Viaje rápido al mapa seleccionado,быстрое перемещение к выбранной карте,การเดินทางด่วนไปยังแผนที่ที่เลือก,선택한 지도로 빠른 이동,الانتقال السريع إلى الخريطة المحددة,Via rapida per la mappa selezionata,Viagem rápida para o mapa selecionado
STRINGFLOAT,浮空,FLOAT,フロート, SCHWEBEN,FLUIDE,FLUJO,плавать,ลอย,플로트,تعويم,FLUTUAR,FLUJAR
STRINGFORTITUDE,不屈,FORTITUDE,不屈の精神,STANDHAFTIGKEIT,Force intérieure,Fortaleza,стойкость,ความตั้งใจแข็งแกร่ง,불굴의 의지,القوة الداخلية,Forza d'animo,Força Interior
STRINGGETEXP,获得经验值, GOT EXP,経験値を獲得しました,ERFAHRUNGSPUNKTE BEKOMMEN,A obtenu de l'expérience,Obtuvo experiencia,получено опыта,ได้รับประสบการณ์,경험치를 얻었습니다,حصل على الخبرة,Ha ottenuto esperienza,Obteve EXP
STRINGGETMONEY,获得金钱, RECEIVED MONEY,お金を受け取りました,ERHALTENES GELD,Argent reçu,Dinero recibido,получены деньги,ได้รับเงิน,돈을 받았습니다,استلم المال,Denaro ricevuto,Dinheiro recebido
STRINGGUARD,防御,GUARD,ガード,VERTEIDIGUNG,Garde,Proteger,защита,ป้องกัน,보호,الحرس,Guardia,Guarda
STRINGHOUR,小时,HOUR,時間,STUNDE,Heure,Hora,час,ชั่วโมง,시간,ساعة,Ora,Hora
STRINGITEM,道具,ITEMS,アイテム,ITEMS,Objets,Objetos,предметы,ไอเท็ม,아이템,العناصر,Oggetti,Itens
STRINGKNOCKOFF,击飞,KNOCK OFF,ノックオフ,ABKNOCKEN,ÉJECTER,DESACTIVAR,снимать,นำออก,떨어 뜨리기,إخراج,Elimina,Remover
STRINGLEVELUP,等级提升到,HAS REACHED LEVEL,レベルに達しました,HAT DAS LEVEL ERREICHT,A atteint le niveau,Ha alcanzado el nivel,достиг уровня,เสถียรภาพระดับ,레벨에 도달했습니다,تم الوصول إلى المستوى,Ha raggiunto il livello,Alcançou o nível
STRINGMISS,MISS,MISS,ミス,FEHLER,Manqué,Fallo,промах,พลาด,빗나감,فشل,Errore,Perda
STRINGMOVE,移动,MOVE,移動,UMZIEHEN,Déplacer,Mover,перемещение,เคลื่อนย้าย,이동,تحرك,Movimento,Movimento
STRINGNOITEM,无道具,NO ITEM,アイテムなし,KEIN GEGENSTAND,Aucun objet,Sin objeto,нет предметов,ไม่มีไอเท็ม,아이템 없음,لا يوجد عنصر,Senza oggetti,Sem item
STRINGNOSKILL,无技能,NO SKILL,スキルなし,KEINE FÄHIGKEIT,Aucune compétence,Sin habilidades,нет навыков,ไม่มีทักษะ,기술 없음,لا توجد مهارة,Senza abilità,Sem habilidade
STRINGNOTARGET,无目标,NO TARGET,ターゲットなし,KEIN ZIEL,Pas de cible,Sin objetivo,нет цели,ไม่มีเป้าหมาย,대상 없음,لا يوجد هدف,Senza bersaglio,Sem alvo
STRINGOCLOCK,点,O'CLOCK,時, UHR,HEURE,Hora,час,นาฬิกา,시,ساعة,O'CLOCK,O'CLOCK
STRINGOPEN,打开,OPEN,開く,ÖFFNEN,Ouvrir,Abrir,открывать,เปิด,열기,فتح,Aprire,Abrir
STRINGQUEST,任务,QUEST,クエスト,QUEST,Quête,Búsqueda,задание,เควส,퀘스트,مهمة,Missione,Missão
STRINGREAD,查看,READ,読む,LESEN,Lire,Leer,читать,อ่าน,읽기,قراءة,Lettura,Ler
STRINGREST,休息,REST,休む,AUSRUHEN,Repos,Descanso,отдых,พัก,휴식,استراحة,Riposo,Descanso
